股票代码,股票简称,公告日期,营业收入,营业收入同比增长,营业收入季度环比,净利润,净利润同比增长,净利润季度环比,每股收益,每股净资产,净资产收益率,销售毛利率,每股经营现金流量
688227,品高股份,2022-04-30 00:00:00,51780403.96,30.7519217324,-82.0441,-13801283.84,2.4018345243,-119.0791,-0.12,12.330205407045,-0.99,37.1224774624,-0.54330488887
688221,前沿生物,2022-04-30 00:00:00,5670338.94,-1.6441954924,-3.1966,-59241597.75,-32.1799394785,28.3495,-0.16,4.925821774822,-3.29,-40.6368076826,-0.095647731988
688201,信安世纪,2022-04-30 00:00:00,64012858.89,31.5266042298,-75.9862,-1565047.52,-506.33,-101.4963,-0.0168,11.004889672956,-0.15,72.7021313639,-0.368310726718
688189,南新制药,2022-04-30 00:00:00,196784525.34,-21.5135458705,64.9862,11813068.13,-52.13,105.4681,0.0844,10.035784946429,0.84,81.2477975866,-0.436020241286
688183,生益电子,2022-04-30 00:00:00,860364945.33,7.2398180917,-12.2425,74716070.9,16.08,-8.5729,0.09,4.783208395446,1.9,24.0443296386,0.226811217279
688180,君实生物,2022-04-30 00:00:00,629519132.31,-61.0232767063,-51.8143,-396395486.59,-205.06,-20.5644,-0.44,8.547816927858,-5.1,73.8411280106,0.626327675767
688175,高凌信息,2022-04-30 00:00:00,45785275.5,-26.9802566586,,2275572.78,-60.22,,0.03,19.372468425553,0.33,42.0392819084,-0.50241431732
688168,安博通,2022-04-30 00:00:00,52764405.45,20.0523030446,-72.5547,-22517765.67,-690.13,-157.6094,-0.44,20.844120740437,-2.09,51.4136954233,-1.336076031505
688165,埃夫特,2022-04-30 00:00:00,284414694.06,0.4245019464,-3.134,-33617386.37,-105.4790286334,68.9453,-0.06,3.581495752329,-1.8,16.6877892954,-0.070589955288
688163,赛伦生物,2022-04-30 00:00:00,24903036.81,12.0420111399,-38.8474,3959971.69,15.87,-8.4308,0.04,10.690205300129,1.07,83.15000001,-0.075887113195
688157,松井股份,2022-04-30 00:00:00,117030274.56,4.2602404302,-16.6892,20025172.72,-11.96,-21.7136,0.25,15.183689797487,1.68,50.351035885,-0.048234836809
688155,先惠技术,2022-04-30 00:00:00,291198964.04,92.7574621394,-20.6541,20653070.93,19.82,5580.0382,0.27,15.953242020099,1.72,23.7337883457,-1.086407771744
688151,华强科技,2022-04-30 00:00:00,227344425.15,-21.0048071812,-13.9633,75266226.0,-24.44,568.1512,0.22,12.510114937968,1.76,30.9157130348,-0.304523046851
688129,东来技术,2022-04-30 00:00:00,76476430.92,-19.9160838718,-53.9977,11027121.07,-41.14,-63.0234,0.09,7.307756789833,1.28,39.7259466407,-0.194841452
688123,聚辰股份,2022-04-30 00:00:00,200841522.87,50.7453275927,32.4233,57234426.11,246.9,123.0988,0.47,13.14281787553,3.68,58.8833860449,0.511392632406
688115,思林杰,2022-04-30 00:00:00,54923916.83,72.2678528939,-19.4716,15848238.93,1182.925397268,-23.2624,0.32,19.812733089096,4.71,71.2657893485,-0.373866711264
688097,博众精工,2022-04-30 00:00:00,779303894.35,44.5993059994,-47.0242,10309654.4,161.1112426539,-92.5876,0.026,6.015574631723,0.43,34.5723256554,-0.19322679361
688096,京源环保,2022-04-30 00:00:00,43109413.77,26.9203253589,-72.7242,5339520.01,-8.64,-77.2126,0.05,7.460345564456,0.67,38.9067009342,-0.205704481819
688092,爱科科技,2022-04-30 00:00:00,68125708.48,26.2208770419,-26.3558,9272878.57,7.31,-7.6973,0.16,8.69912182586,1.76,43.5565085517,-0.223825212322
688089,嘉必优,2022-04-30 00:00:00,75542426.37,-4.1693965058,-25.3542,23224988.14,-31.2,-15.9442,0.19,11.71801942375,1.67,47.4348086392,0.53612549275
688086,*ST紫晶,2022-04-30 00:00:00,92214144.21,7.3349748242,18.4635,-100070104.58,-1090.17,60.6739,-0.53,7.700435629558,-6.6,10.642237505,-0.558147465723
688071,华依科技,2022-04-30 00:00:00,50096406.19,75.4149439577,-61.926,-3652485.39,-4.185774136,-111.0093,-0.05,6.324284683895,-0.01,40.5525903853,-0.340681709713
688070,纵横股份,2022-04-30 00:00:00,47538577.8,122.3424349915,-62.4435,-2288033.55,80.7401565309,52.7703,-0.03,7.912253410139,-0.33,52.7548945943,-0.55147262617
